sample_index,time_seconds,measured_ecg,predicted_ecg
4762,2.3810000,-0.11563090234994888,-0.12139999866485596
4763,2.3815000,-0.11669939011335373,-0.12280000001192093
4764,2.3820000,-0.11771494150161743,-0.1242000013589859
4765,2.3825000,-0.11867944896221161,-0.12559999525547028
4766,2.3830000,-0.11959881335496902,-0.12710000574588776
4767,2.3835000,-0.12047773599624634,-0.12860000133514404
4768,2.3840000,-0.12131388485431671,-0.13019999861717224
4769,2.3845000,-0.12210206687450409,-0.13169999420642853
4770,2.3850000,-0.12284237146377563,-0.13330000638961792
4771,2.3855000,-0.12354001402854919,-0.13490000367164612
4772,2.3860000,-0.12419847398996353,-0.13650000095367432
4773,2.3865000,-0.12481720745563507,-0.13809999823570251
4774,2.3870000,-0.12539789080619812,-0.13969999551773071
4775,2.3875000,-0.12594528496265411,-0.14129999279975891
4776,2.3880000,-0.12646059691905975,-0.1429000049829483
4777,2.3885000,-0.12694451212882996,-0.1445000022649765
4778,2.3890000,-0.12739941477775574,-0.1460999995470047
4779,2.3895000,-0.12782567739486694,-0.14759999513626099
4780,2.3900000,-0.12822292745113373,-0.14910000562667847
4781,2.3905000,-0.12858985364437103,-0.15060000121593475
4782,2.3910000,-0.12892580032348633,-0.15199999511241913
4783,2.3915000,-0.12923248112201691,-0.15350000560283661
4784,2.3920000,-0.12951210141181946,-0.15479999780654907
4785,2.3925000,-0.12976747751235962,-0.15610000491142273
4786,2.3930000,-0.12999998033046722,-0.15739999711513519
4787,2.3935000,-0.13020837306976318,-0.15850000083446503
4788,2.3940000,-0.13039334118366241,-0.15960000455379486
4789,2.3945000,-0.13055634498596191,-0.1606999933719635
4790,2.3950000,-0.13069382309913635,-0.16159999370574951
4791,2.3955000,-0.13080184161663055,-0.16249999403953552
4792,2.3960000,-0.13087588548660278,-0.16329999268054962
4793,2.3965000,-0.13090690970420837,-0.164000004529953
4794,2.3970000,-0.13089142739772797,-0.16459999978542328
4795,2.3975000,-0.13083057105541229,-0.16509999334812164
4796,2.3980000,-0.13072463870048523,-0.16550000011920929
4797,2.3985000,-0.13057860732078552,-0.16570000350475311
4798,2.3990000,-0.13039588928222656,-0.16590000689029694
4799,2.3995000,-0.13017284870147705,-0.16599999368190765
4800,2.4000000,-0.12990780174732208,-0.16590000689029694
4801,2.4005000,-0.12960198521614075,-0.16570000350475311
4802,2.4010000,-0.12925532460212708,-0.16539999842643738
4803,2.4015000,-0.12886789441108704,-0.16500000655651093
4804,2.4020000,-0.12844172120094299,-0.16449999809265137
4805,2.4025000,-0.12798008322715759,-0.16380000114440918
4806,2.4030000,-0.12748415768146515,-0.16300000250339508
4807,2.4035000,-0.12695194780826569,-0.16210000216960907
4808,2.4040000,-0.12638357281684875,-0.16099999845027924
4809,2.4045000,-0.12578381597995758,-0.1598999947309494
4810,2.4050000,-0.12515619397163391,-0.15860000252723694
4811,2.4055000,-0.12450379133224487,-0.15719999372959137
4812,2.4060000,-0.1238320916891098,-0.15559999644756317
4813,2.4065000,-0.12314249575138092,-0.15399999916553497
4814,2.4070000,-0.12243282794952393,-0.15219999849796295
4815,2.4075000,-0.12170267105102539,-0.15029999613761902
4816,2.4080000,-0.12095612287521362,-0.14839999377727509
4817,2.4085000,-0.12020009756088257,-0.14630000293254852
4818,2.4090000,-0.1194341629743576,-0.14409999549388885
4819,2.4095000,-0.11865618824958801,-0.14180000126361847
4820,2.4100000,-0.11787141114473343,-0.13940000534057617
4821,2.4105000,-0.11708209663629532,-0.13699999451637268
4822,2.4110000,-0.11628568172454834,-0.13439999520778656
4823,2.4115000,-0.11548147350549698,-0.13179999589920044
4824,2.4120000,-0.1146705225110054,-0.1289999932050705
4825,2.4125000,-0.11385716497898102,-0.12630000710487366
4826,2.4130000,-0.11304453760385513,-0.1234000027179718
4827,2.4135000,-0.11223077774047852,-0.12049999833106995
4828,2.4140000,-0.11141612380743027,-0.11749999970197678
4829,2.4145000,-0.11060144752264023,-0.11450000107288361
4830,2.4150000,-0.1097843125462532,-0.11140000075101852
4831,2.4155000,-0.10896375775337219,-0.10830000042915344
4832,2.4160000,-0.10813956707715988,-0.10520000010728836
4833,2.4165000,-0.10731018334627151,-0.10199999809265137
4834,2.4170000,-0.10647542774677277,-0.098800003528594971
4835,2.4175000,-0.1056353822350502,-0.095600001513957977
